,dialog,act,emotion,len_dialog
2052,"[""how's it going ? ""
 "" I'm in a really good mood , actually . How about you ? ""
 "" to be honest , I'm a bit fed up . "" "" what's wrong ? ""
 ' well , my boyfriend was supposed to call me last night , but he never did . '
 "" that's too bad . I'm sure there's a logical explanation for it . Don't be too upset about it . ""
 "" the thing is , this isn't the first time he's promised to do something and then didn't . ""
 ' I see how that can get a bit annoying . '
 "" a bit ? I'm extremely annoyed that he didn't phone me when he promised me that he would ! He's such a liar . ""
 ' so what are you going to do about it ? '
 "" I don't know . I've got mixed feelings about it . On the one hand , I really want to end it with him , but on the other hand , I don't want to be without him . ""
 ' what do you think would make you happier ? '
 "" in the long run , I think breaking up with him would make me much happier , but I know that I'll be depressed about it for a few weeks first . ""
 ' relationships can be confusing sometimes . '
 ' what would you do if you were me ? '
 "" I'd call him and dump him now ! You deserve better than him ! ""]",[2 2 1 2 1 1 1 1 1 2 1 2 1 1 2 1],[0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0],1133
2072,"['Well , how was your honeymoon ? '
 ' It was fantastic ! We had such a good time . The only problem was that because it was their high season , we spent hours queuing . '
 ' Peak periods always entail hours of queuing . At least you got a nice tan though ! '
 ' Yes , Florida had great weather while we were there . You look tan , too . Did you go somewhere ? '
 ' My friends and I just got back from Bali . '
 "" Wow ! Bali Islands have some of the best beaches in the world , don't they ? ""
 "" Yes , we were lucky . My friend's father owns a resort on one of the islands , so we were able to stay for free . ""
 ' Did you go diving while you were there ? '
 "" I took a few diving classes , but I didn't really like it , so I did snorkeling instead ! ""
 ' Did you take any pictures in the ocean ? '
 "" I've got quite a few pictures of all different kinds of fish . I'll show them to you next time I see you . ""
 ' Have you started planning your christmas vacation yet ? '
 "" We're planning on going skiing in Switzerland . Do you ski ? ""
 ' No , but I do like snowboarding . '
 ' Would you like to go skiing with us for christmas ? '
 "" I'll talk to my husband about it ; I'm sure he'll say yes ! He loves Switzerland ! ""
 "" It is Europe's spotless land of lakes and mountains ! Let me know as soon as you can so we can get a discount . ""]",[2 1 1 2 1 2 1 2 1 2 1 2 2 1 3 4 1],[0 4 4 4 4 4 4 0 0 0 4 4 4 4 4 4 4],1339
2079,"['The art critic from the daily chronicle doesn ’ t think much of the max oreo exhibition . He says that the artwork is uninspiring and old fashioned . '
 ' Really ? I thought the exhibition showed that he had real talent . What did you think of it ? '
 ' I liked it . I didn ’ t think his works were masterpieces , but the certainly weren ’ t uninspiring , in my opinion . '
 ' I don ’ t think I ’ Ve ever read a good review of an exhibition by that critic . He doesn ’ t seem to like anything . Which kinds of paintings do you prefer ? '
 ' I like landscapes and still life . You prefer abstract paintings , don ’ t you ? '
 ' Yes , I do . I like painters who use rather than watercolors . The colors appear richer . What do you think ? '
 ' I agree . I prefer oils too . I collect landscapes , but I only have a small collection . You have a small collection of abstract art , don ’ t you ? '
 ' Yes . Good artwork is very expensive nowadays . When I was in china , I bought some calligraphy by famous artists . You should come and see it sometime . '
 ' That would be nice . Can you read the characters ? '
 ' I know what the characters on the paintings mean . I think Chinese characters look very artistic . It ’ s said that the way they are written can give insight into the artist ’ s character . '
 ' I think that ’ s true with any of the fine arts . ']",[1 2 1 2 2 2 2 1 2 1 1],[0 6 0 0 0 0 0 0 4 0 0],1361
2101,"[""I don't know what to do about the people who live in the flat above me ! ""
 ' Why ? What are they like ? '
 "" They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep ! ""
 ' Have you ever talked to them about it ? '
 "" I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again ! ""
 ' What did they say ? '
 ' They both just talk about how great they are all the time . '
 ' They soud like the neighbours from hell ! '
 "" They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment . ""
 "" I thought you didn't talk to them much . ""
 "" I don't , but they talk so loudly that I can hear what they're talking about from my bedroom - and it's not very nice . ""
 ' What do the other people in your apartment think about them ? '
 ' Most of my other neighbours are scared of them . '
 ' Maybe you should think about moving . '
 "" I can't afford to move right now . ""
 "" Well , perhaps you should have a party and try to get to know them better . Maybe once you get to know them , they'll turn out to be more sensitive . ""
 "" I think you're being a bit optimistic . If you met them , you'd understand . ""
 "" Well , I don't know what else you could do then . Do you think bribing them with chocolate would work ? ""]",[1 2 1 2 1 2 1 1 1 1 1 2 1 1 1 1 1 2],[1 0 1 0 1 0 1 1 1 0 0 0 0 0 2 0 2 0],1466
2105,"['How are you doing , Andrew ? '
 ' Not well . I ’ Ve been feeling pretty lonely lately . '
 ' But you have so many friends ! How could you be lonely ? '
 "" You know what they say'a friend to all is a friend to none ' . I don ’ t feel like I really know any of my friends . In fact , I should probably call them acquaintances , not friends . ""
 ' What about me ? I ’ m your friend . '
 ' I know you are , you are my girlfriend . I wish I had a guy friend to hang out with sometimes . '
 ' I know what you mean . I find it difficult to make new friends , too . It ’ s not as easy as it was when we were young , is it ? '
 ' Not at all . '
 ' I ’ Ve made a lot of new friends since I started learning English . Maybe you could join a club or take a class to make some new friends . '
 ' That ’ s a good idea . '
 ' What kind of qualities do you look for in a friend ? '
 ' I ’ m not sure . I guess I ’ d like to meet some people who have a positive attitude and want to have a good time . '
 ' People who play ultimate Frisbee have a positive attitude ; maybe you should join the ultimate Frisbee club . '
 ' That ’ s a possibility . Thanks ! ']",[2 1 2 1 2 1 2 1 3 4 2 1 3 4],[0 0 0 0 0 0 0 0 4 4 0 0 4 4],1143
2108,"['Hey Susan , what are you coming as this year ? ' ' Coming as ? '
 "" Yeah ... for Halloween ! We have a big office party tomorrow evening . There's a prize for best costume ! ""
 "" Um ... I have to confess , I haven't given it much thought . I'm from China and Halloween really isn't celebrated there . ""
 "" Really ! You don't have some kind of Chinese ghost festival ? ""
 ' Oh ... Sure . We have an entire month ! In traditional Chinese culture , Ghost Month is a period when the door between this world and beyond opens up and ghosts come back to earth for a visit . '
 ' Cool ! A whole month ! What do you do during that month ? '
 "" Well , people sometimes set off firecrackers , some people burn paper money as an offering and many people go to a temple to burn incense.Mainly though , you need to feed the ghosts because they're hungry . ""
 ' Feed them ? '
 ' Yeah ... we set up tables with food , fruit and drinks and offer that to the hungry ghosts . '
 ' And then later everyone eats the food ? '
 ' Yes ! How did you guess that ? '
 ' It makes sense , right ? Who else is going to eat it ? '
 ' Good Point ! ' ' But no dressing up like ghosts , right ? '
 ' No ! So ... is Halloween essentially the same thing as ghost month ? ']",[2 2 1 1 2 1 2 1 2 1 2 2 2 1 2 2],[0 0 0 0 6 0 0 0 0 0 0 0 0 4 0 0],1239
2111,"['Did you hear ? The state is thinking of legalizing gambling in our city ! Soon we are gonna have amazing hotels and casinos here which will be good for our business ! '
 ' Are you serious ? Gambling is a vice industry built on deception and fed by the intentional exploitation of human weakness for the sole purpose of monetary gain ! It disgusts me . '
 ' What are you talking about ? How does it exploit people ? '
 ' Well , to begin with , Gambling is addictive , ruins marriages , destroys families and bankrupts communities . Once you are addicted it is very difficult to stop . People have lost their houses , cars and been left out on the street after becoming addicted . Secondly , it exploits because men become addicted to gambling most often because of the action and risk . Women gamble to escape , and senior citizens will start gambling for the social interaction . Underage gamblers often start gambling on sports with friends and then illegal bookies . '
 ' Geez ! Now that I think about it , maybe legalizing gambling isn ’ t such a good idea ! Although , I have been to Las Vegas , and I didn ’ t become addicted or anything like that . '
 ' You cannot predict who will become addicted to gambling . Now excuse me , I have a protest rally to organize ! ']",[2 2 2 1 1 1],[4 3 6 0 0 0],1275
2128,"['more and more Chinese are marrying foreigners . '
 "" that's true . But I have a low opinion of those women who go out with foreigners . ""
 ' oh , why ? '
 ' I think some Chinese wone marry foreigners for money while others just want to live abroad . There is no true love between them . '
 "" I wouldn't say that's totally true . I've met many happy intercultural couples . ""
 "" well , then why aren't there many East-West couples where the man is a Chinese and the woman is a Westerner ? ""
 "" I guess it's because the Chinese women are more attractive to Western men . ""
 ' or because they are less attractive to to Chinese men . '
 ' what do you mean ? '
 ' you know , usually the woman is in her thirties and she is a left girl . '
 "" a left girl ? What's that ? ""
 "" they're called that because they're left behind on the shelf . They're also known by their three H's---high diploma , high salary , and high degree . and they're also known as the three S's — single , ""
 ' you have a point here , but I believe some mixed marriages are based on true love . '
 "" that ' for sure but very few . ""]",[1 1 2 1 1 2 1 1 2 1 2 1 1 1],[0 0 6 0 0 0 0 0 0 0 0 0 0 0],1100
2138,"['the May holiday is coming up soon . Are you planning on going on vacation ? '
 ' I am . I just went to the travel agent ’ s and picked up these brochures . '
 ' where are you planning on going ? '
 ' I fancy going to Tibet for a few days . Have you ever been there ? '
 ' I went a long time ago , before they built the new train that can take you there . '
 ' would you recommend going there for a few days ? '
 ' personally , I think it ’ d be better to go when you have more time . A few days isn ’ t really enough to get acclimatize yourself and to go on a few excursions outside of the capital . '
 ' you ’ re probably right . What do you think about Yangshao ? '
 ' it ’ s a beautiful city , but I think it ’ s become too touristy . How about going to a cosmopolitan city like Shanghai or Hong Kong ? '
 ' I ’ d like to get away from the big city life . '
 ' maybe you should consider going to a hot springs resort outside of Beijing . I heard they are very relaxing . '
 ' I guess if I only have a few days , I should probably think about going somewhere that isn ’ t far away . '
 ' since the May holiday is the high season , you should probably call ahead to reserve a room . Here ’ s the phone number . '
 ' thanks ; I ’ ll give them a call later . ']",[2 1 2 2 3 2 3 2 3 4 3 1 3 4],[0 0 0 0 0 0 0 0 0 0 0 0 0 0],1262
2152,"['Good afternoon , sir . You are really a regular customer here . May I ask you why you come here so often ? '
 "" I'm a newspaper columnist . I write comments for a living . I enjoy working in a coffeehouse . ""
 "" I see . But isn't it a bit too noisy ? ""
 "" I don't mind . By contrast , I quite like the circumstances , as I can see a variety of people here , who can always give me tremendous inspiration . And the most important thing is coffee as it is my life . ""
 ' I can see that . Then what is your favorite coffee ? '
 "" Irish coffee is my favorite . But I can drink any other . I'm not particular on it . ""
 ' All right . Would you make coffee yourself when you are at home ? '
 ' Not very often . Making coffee is a bit troublesome . Most of the time , I just buy takeout at Starbucks . And also , I quite like instant coffee . '
 "" I think instant coffee is becoming more and more popular . Though its taste is not perfect , it's really cheap and convenient . ""
 "" Exactly . Nescafe is the world's favorite coffee . People love it all over the world ? ""
 ' Which country makes the best coffee in the world ? '
 "" Many people think Brazil makes the best coffee . Brazil exports a lot of coffee . But I love Irish coffee . So it's hard to say . Just depends on your taste . ""
 ' I agree . I heard in the western countries , almost everyone likes coffee . Is that true ? '
 "" Yes . No doubt about that . For us , coffee is more a living style rather than a simple drink . I heard Chinese people don't drink that much coffee . ""
 "" No , we don't , especially the old people . But more and more young people fall for coffee . ""
 "" I suppose so . That's probably why there are so many wonderful coffeehouses in China now . ""]",[2 1 2 1 2 1 2 1 1 2 2 1 2 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1730
2153,"['Why are there still so many people overweight despite the current fitness craze ? '
 "" Well , there are certain factors that effect people's size and weight . ""
 ' What are they ? '
 ' One study said that low-income groups have a higher percentage of over-weight people than higher income families . '
 ' Why ? '
 ' The survey said that the low , income groups eat more junk food on a daily basis . '
 ' That makes sense . Probably less time to make dinner and the junk food is cheaper . '
 ' And junk food contains lots of fat and oil . There is one final reason why so many people are fat . '
 "" What's that ? ""
 ' Nobody exercises any more-not even kids ! The average American home has the TV on for 6 hours a day ! '
 ' Wow ! No wonder people are so fat . Say , Carl , looks like you could be doing a bit more exercising . '
 ' Yeah , I guess so . '
 ' You should consider eating healthier food and getting some more exercise . '
 ' Hey , I started a diet and lost 10 pounds . ' ' So what happened ? '
 ' Well , I quit and gained it back plus 5 pounds . '
 ' You should have kept trying . ']",[2 1 2 1 2 1 1 1 2 1 1 1 3 4 2 1 1],[0 0 0 0 0 0 0 0 0 0 6 0 0 0 6 0 0],1097
2156,"['Jack and Mary broke up . '
 ' it ’ s so sad . They had been together for only two months . Do you know what the matter was ? '
 ' Mary said Jack was cheating on her . Jack was seeing a girl from his hometown . One day , Mary saw them holding hands and ended the relationship immediately . '
 ' really ? I ’ m very surprised . He doesn ’ t look like a guy who ’ d ever do that sort of thing , right ? '
 ' no , he doesn ’ t . Anyway , she found out that he had been two-timing her for a long time . '
 ' maybe it is for the best . They are not suitable for each other because they have nothing in common and are completely different people . '
 ' how so ? '
 ' he is an extrovert while she is an introvert . He likes parties while she hates them . '
 ' poor Mary ! She really liked him . '
 ' anyway , she was right to end things and she deserves better . '
 ' do you think they ’ ll get back together ? '
 ' no , I don ’ t think so . I know Mary . Once she makes a decision , she won ’ t change her mind . '
 ' I hope she ’ ll recover soon . ' ' so do I . ']",[1 2 1 2 1 1 2 1 1 1 2 1 1 1],[0 0 0 6 0 0 0 0 0 0 0 0 0 0],1060
2166,"['Hello baseball fans , and welcome back to today ’ s game ! My name is Rick Fields and of course , I am here , once again , with the man that seals the deal , Bob Copeland . '
 ' It ’ s a beautiful day to see two world class teams face each other and fight for their right to be called champions . '
 ' Well , the national anthem has just been sung , and the umpire has started the game . It ’ s time to play ball ! '
 ' Roger Vargas is up at bat . The pitcher winds up and strike one ! '
 ' A very nice curve ball by the pitcher . The catcher gives him the sign , he winds up and Vargas gets a line drive ! '
 ' The players are scrambling to get the ball . Vargas gets to first base and he ’ s still going ! The outfielder throws it to second ! Vargas slides ! He ’ s safe ! '
 ' Great play ! '
 ' We have a runner on third and up at bat is Brian Okapi ! There ’ s the pitch , he hits it ! It ’ s going , going , that ball is gone ! '
 ' Home run by Okapi ! That puts this team ahead by two as we are at the bottom of the fifth inning here at Richie Stadium ! ']",[1 1 1 1 1 1 1 1 1],[4 4 4 4 4 4 4 4 4],1064
2171,"['Jack and Mary broke up . '
 ' It ’ s so sad . They had been together for only two months . Do you know what the matter was ? '
 ' Mary said Jack was cheating on her . Jack was seeing a girl from his hometown . One day , May saw them holding hands and ended the relationship immediately . '
 ' Really ? I ’ m very surprised . He doesn ’ t look like a guy who ’ d ever do that sort of thing , right ? '
 ' No , he doesn ’ t . Anyway , she found out that he had been two-timing her for a long time . '
 ' Maybe it is for the best . They are not suitable for each other because they have nothing in common and are completely different people . '
 ' How so ? '
 ' He is an extrovert while she is an introvert . He likes parties while she hates them . '
 ' Poor Mary ! She really liked him . '
 ' Anyway , she was right to end things and she deserves better . '
 ' Do you think they ’ ll get back together ? '
 ' No , I don ’ t think so . I know Mary . Once she makes a decision , she won ’ t change her mind . '
 ' I hope she ’ ll recover soon . ' ' So do I . ']",[1 2 1 2 1 1 2 1 1 1 2 1 1 1],[0 0 0 6 0 0 0 0 0 0 0 0 0 0],1059
2182,"[""I'm not comfortable about this , Sandy . I don't understand most of these games . ""
 "" That's okay . I can explain a little . ""
 "" I don't want to lose all my money . ""
 "" Don't worry . You can't lose all your money.because you won't gamble all your money . ""
 "" I guess you're right . ""
 "" Of course I'm right . I already told you the rule for Las Vegas . Remember ? ""
 ' Yes , I remember.You must decide how much money you will gamble before you start to play . '
 "" That's right . That's the best way to have control over yourself.You say to yourself . Tonight I will gamble fifty dollars . Only fifty dollars . No more.If you follow the rule , you can't lose more than fifty dollars . ""
 "" I know it's true , Sandy . But still some people lose control.They start to gamble , and they can't stop . ""
 "" But I won't let you do that . I will watch you . "" ' Okay . '
 ' So how much do you want to gamble ? ' ' Maybe 500 dollars . '
 "" 500 dollars ! That's too much ! You just said you are afraid to lose your money.If you're afraid , why do you want to gamble 500 dollars ? ""
 "" I don't want people to think I'm stingy . ""
 ' That is a bad attitude to have , Karen ! If you think that way , Las Vegas will be really dangerous for you . ']",[1 1 1 1 1 2 1 1 1 3 4 2 1 2 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0],1241
2194,"[""hey , Mary , what's up ? ""
 ' not much . Last night I met this great guy at the bar and we had such a wonderful time that we decided to meet again tonight . '
 "" oh , that's exciting . What's this guy like ? Is he hot ? ""
 "" well , I didn't think so at first . But as we started talking , I found his extremely funny and witty . I couldn't stop laughing at his jokes ! We have so much in common . We like the same teams , music , a ""
 ' it seems you two are a good match . What qualities do you look for in a friend ? '
 "" there's nothing definite I think . I don't have a list or anything , but when I first meet somebody , I can usually tell whether or not that person is going to be a good friend . It seems I have radar h ""
 "" well , that's something I've never heard of . But if you as me what I value most in a friend , I would have to say honesty . ""
 "" I agree . You can't expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need . ""
 "" yeah , I know . A friend in need is a friend indeed . I don't need fair-weather friends either . ""]",[2 1 2 1 2 1 1 1 1],[0 0 0 0 0 0 0 0 0],1118
2197,"[""you haven't spent much time with Sophia lately . Are you speaking to each other at the moment ? ""
 "" no , we're not . We've been drifting apart for a while . ""
 "" but you two used to do everything together . I thought you really enjoyed each other's company . ""
 ' we did , but since she started her new job , all she does is hang out with her new friends from work . '
 "" can't you hang out with them , too ? ""
 ' I could , but all they ever talk about is work , so I always end up feeling left out . '
 "" maybe you should invite her over for dinner , so it's just the two of you . ""
 "" I tried that a few weeks ago and she ended bringing a pal from work with her ! She's so busy these days that it's just impossible to hang out with her . ""
 "" it can't be that bad . She was always a really good friend to you . ""
 "" you're right . She would never talk about me behind my back or hold a grudge . But she just doesn't seem very interested in our friendship anymore . ""
 "" she's probably just excited about her new job . You should give her some time . It would be a shame to lose such a good friend . ""
 "" I've given her enough time . I'm over it now . ""
 ' I still think you two should try to patch things up . '
 "" I think I just have to accept the fact that it's time for us to go our separate ways . ""]",[2 1 1 1 2 1 3 1 1 1 3 1 3 4],[0 0 0 0 0 0 0 0 0 0 0 0 0 0],1309
2201,"[""Did you hear what's going on downtown today ? All the orders from the factory are staging a demonstration in the streets . Not one of the two thousand employees showed up for work today , and they have gathered outside the city hall to demand better working conditions for all factory employees . ""
 ' Wow , sounds chaotic ... two thousand people in the streets carrying picket signs and shouting slogans . What gave them the motivation to finally organize and call management on the substandard working conditions ? '
 "" I think they gained courage after the mayor's speech last week on equality and opportunity for all town citizens . Anyway , the sentiments have been brewing for quite some time . I mean , we all know the working conditions at the factory are quite horrendous . ""
 ' So what kind of demands do they have ? What are they asking for specifically ? '
 "" They want raises and medical insurance , and I think they want to clean up the factory's safety hazards . That's probably the most important issue . ""]",[2 2 1 2 1],[0 0 0 0 0],1025
2205,"[""what's your opinion about childless couples ? Will you choose to have no kids ? ""
 "" to be honest , I wouldn't . ""
 ' why ? Do you have to make a choice now ? '
 ' not really . But it has puzzled me for a long time . '
 "" what's the puzzle ? ""
 ' my husband and I prefer to have no kids , but my mother-in-law is very traditional and wants grandkids . '
 ' oh , I see . I think the older generation tend to think in a different way . '
 ' yes . It seems she can never accept a childless marriage . We had a fight last night . '
 ' oh , really ? Maybe she is just eager to see her grandchildren . '
 "" but it's absolutely our own business to have a child or not . ""
 ' definitely . '
 "" you know , I often overhear our neighbor , the young couple , fighting about how to raise their kid and I really don't want kids to spoil our happiness . ""
 "" don't worry . I think in most cases , children are the glue that keeps a family together . ""
 "" I guess you're right . But I still prefer to have no child . ""
 ' sure . You can fully enjoy your time together . ']",[2 1 2 1 2 1 1 1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 5 0 0 0 0 0 0 0],1059
2210,"[""What are we going to do ? I can't get the car out of this ditch . I'm stuck ! ""
 "" I'm worried , Tom . I haven't seen any other cars for almost an hour . ""
 "" I know . This is terrible . What can we do ? This snow doesn't stop falling ! ""
 ' I told you we should have stayed in town today.The weather report said 100 percent chance of snow.Why did you want to come up here ? '
 ' I wanted to show you the cabin . We only had another half-hour to go . '
 "" Well , now we're stuck . What can we do ? "" "" I don't know . ""
 "" I've heard that when this happens , it's important to save energy . ""
 ' What do you mean ? '
 "" We're stranded here , Tom . We may be here a long time.We need to conserve the gas in the car . The car's energy is what will keep us warm . ""
 ' I have plenty of gas . '
 "" Yes , but the gas and the battery both have to stay working.We can't just let the car run and run.If we do , it will die soon . Then we'll freeze . ""
 ' So what can we do ? '
 ' Turn the lights off.Then , run the car and the heater only about fifteen minutes every hour.That will conserve the heat as long as possible . '
 "" Alright . That's a good idea . ""
 "" I wish we hadn't come up here . Now we'll probably be here for days . ""
 ' Days ? '
 ' Yes , it happens.That is what happens in big snowstorms . People get stranded for days . '
 "" Oh , my God ! It's good we have food . ""
 "" Probably we'll survive.But turn the car off for about forty-five minutes . Then we'll turn it on again . ""
 "" Okay , I'll follow your advice . ""]",[2 1 2 2 1 2 1 1 2 1 1 1 2 3 4 1 2 1 1 3 4],[1 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 6 0 4 0 0],1526
2217,"['Will you be joining Billy and I at the Bar ? '
 ' Which one will you be going to ? '
 ' We are going to try the new one that opened up on 17th Street . '
 "" Sure , I've been meaning to visit that place myself . ""
 ' I want to stop off at my apartment to get changed so I should be there by 9 pm . '
 ' OK , can I bring a date with me ? '
 ' Certainly . But if there are going to be four of us , I had better make reservations . '
 ' Yes . that is a very good idea . It would be a shame if we could not find a place to sit . '
 "" Then I'II make reservations for 9 pm for a party of four . ""
 "" I'll be there . Oh , is there a cover charge at the bar ? ""
 ' Not that I know of . Why do you ask ? '
 ' I want to make sure I bring enough money for my date and I . '
 ' I hear the drinks and food there are moderately priced.You should be fine . '
 ' One last question.Is there a dress code there ? '
 ' No , its very casual there . Leave your jacket and tie at home . '
 ' Perfect . I wanted to have a casual evening tonight . '
 "" I'll see you there at 9pm . "" ' Okay . See you then . ']",[3 2 1 4 1 3 4 1 1 2 2 1 1 2 1 1 1 1],[0 0 0 4 0 0 4 4 4 4 0 0 0 0 0 4 4 4],1086
2222,"[""Have you ever seen Bill Gate's home on the internet ? ""
 "" No . what's it like ? ""
 "" It's got its own library , theatre , swimming pool , and a guest house . The house itself has about ten different rooms that are all hooked up to computers so you can get things done in each room through a remote control . It's also located near the sea , so he can park his boats next to his house . It's absolutely amazing ! ""
 ' Would you want to live there ? '
 "" I think his house is fantastic , but I wouldn't want to live there . You would have to hire one or two people to clean all the rooms in the house , plus a few people to take care of the gardens , and probably an au pair or two to take care of the children . It's just too big of a place to take care of on your own . ""
 "" What's your dreamhole like then ? ""
 ' My dream home is actually just a small cottage in a quiet village in England . '
 ' Would you want to buy an old cottage or build a new one yourself ? '
 "" Old homes are great because they've got character . I think that's important . ""
 "" Is that why you wear second-hand clothes as well ? Because they've got character ? ""
 "" No , that's just because I don't have enough money to buy new cloths all the time ! ""
 ' I see . If you lived in an old house , would it be decorated in a modern way ? '
 "" No , I'd definitely try to restore it to its original state . I love to imagine what it'd be like to live in another time in history and living in a house decorated like it would have been 200 years ago would be a great way to feed my imagination even more ! ""]",[2 2 1 2 1 2 1 2 1 2 1 2 1],[0 0 0 0 0 0 0 0 0 0 0 0 0],1579
2240,"['I don ’ t know what I ’ m going to do ! It ’ s going to be impossible to make ends meet if I lose my job ! '
 "" Don ’ t worry . I don't think you ’ re going to lose your job over one mistake . ""
 ' It was a rather big mistake . When you work as an investment adviser , one small mistake can cost the company millions . '
 ' But it wasn ’ t just you who was involved , right ? You were only doing what your supervisor told you to do . '
 ' That ’ s true , but my supervisor is very dishonest . There ’ s no reason he needs to tell our boss the truth . I ’ m sure he will tell our boss that it was all my fault , and there ’ s nothing I can do about that . My boss won ’ t believe me if I tell him the truth . '
 ' Let ’ s think realistically about what might happen . How much money do you have in your savings ? '
 "" I have enough to live off of for about 3 months . But I really don't want to spend my life savings on just living ! I ’ d rather invest my money somehow . ""
 "" Well , you can't have everything . Let's just figure out what you will do if you lose your job . When is your contract up on your apartment ? ""
 ' Next month . So I can either move out then or renew my contract for another year . '
 ' Well , that ’ s good . If you lose your job , you can just move in with me until you find another job . That will save you plenty of money . '
 ' That ’ s very generous of you . I guess that would work . '
 ' If you lose your job , you just have to go for a few months without buying all the junk you usually buy . If you live frugally , you ’ ll save plenty of money . '
 ' I guess working with so much money has made me rather greedy . Maybe losing my job would be a good thing ! ']",[1 1 1 2 1 2 1 2 1 3 4 1 1],[0 0 0 0 0 0 0 0 0 4 4 4 4],1698
2243,"['So , Fred , what are your plans for after graduation ? '
 ' Well , I ’ Ve already got a job waiting for me back in my hometown . '
 ' That ’ s cool . Have you already found an apartment to live in ? '
 ' I ’ m planning on living with my parents . Won ’ t you ? '
 ' I couldn ’ t even if I wanted to . My parents told me that if I went home , then ’ d have to find my own place . '
 ' You mean they ’ re kicking you out ? '
 ' Not really , they just don ’ t want me living at home . My older sister did that , and she lived at home for seven years . Once she started living at home , it got harder and harder for her to move out . '
 ' Well , it ’ s not like my parents want me to live at home the rest of my life . They said that it ’ s ok if I move back home to begin with , but they want me to find a place of my own after a year or so . '
 ' My parents just didn ’ t handle my older sister very well , and because of that , they want me to be more independent . They think that it ’ s important that I should learn how to live on my own . '
 ' I know I need to learn that myself , but I just don ’ t have the money for it at the moment . Living at home allows me to save up some money before I started finding a place . ']",[2 1 2 2 1 2 1 1 1 1],[0 0 0 0 0 0 0 0 0 0],1227
2249,"['Hello . Can I help you ? '
 ' Yes , I hope so . I would like to register for Comp Lit 287 . '
 "" I'm sorry , but that class is already full.And also , students are supposed to register through the touch-tone registration system . ""
 "" I know . I already tried to register for it by phone , but the computer won't let me . ""
 "" That's because it's full . ""
 "" But I'm a new student here . I thought maybe there was some way I could get into the class . I thought I should come and talk to you in the department office . ""
 "" Well , I could put you on a waiting list.But that doesn't guarantee you will get into the class . What is your name ? ""
 "" My name is Karen Huang . That's spelled H - U - A - N - G . ""
 ' Alright . And what is your major ? '
 "" I'm a comparative literature major . ""
 "" Wait a minute . You're a Comp Lit major ? "" "" Yes , that's right . ""
 "" Why didn't you tell me ? I didn't know you were one of our students . ""
 "" That's why I'm trying to get into Comp Lit 287 . I know it's a required class.And Professor Cohen told me I need to take it . ""
 ' The university computer system saves extra places , in class 287 for comp lit students . I can give you a special code.When you register by phone , you can use the code to get into the class . '
 ' Even if the class is full ? ' "" That's right . ""
 "" Oh , I didn't know that . ""
 ' Sure . Here is the code number , with information on how to use it . '
 ' Thank you . So you think I will be able to get in with this ? '
 ' Sure . Just call the touch-tone registration system again.Then , follow the directions on the sheet . You will get in no problem . '
 ' Thanks . ' ' Next time you come in here , I will recognize you . ']",[2 3 4 1 1 3 2 1 2 1 2 1 2 1 3 2 1 1 3 2 3 4 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 4 0 4 0],1699
2256,"[""I'm reading an interesting report on Mars . ""
 ' Oh , what does it say ? Does it say water could still exist under the surface of Mars ? '
 "" Absolutely ! It says there is water on Mars buried beneath the surface . It's just a matter of how deep it is . ""
 ' Then could the soil on Mars somehow be fertile enough to Groh simple plants ? '
 ' The soil would need quite a bit of fertilizer to grow anything . And it would need to be protected from the UV radiation . '
 ' Actually , we are doing a project in school that involves landing a ship and staying on Mars for an extended period of time . Does NASA have any type of portable habitats that could be used to stay on the planet ? '
 "" I'm not sure NASA has built any portable habitats for extended stays on Mars , but they have looked at various designs . ""
 ' One of the most exciting things about Mars is that there could have bean life on it . What are your personal opinions on the life on Mars theory ? '
 "" Well , I'm not really an expert in this area , but my understanding is that anything is possible . It's just that it is so hard to determine what went on 4.5 billion years ago . ""
 ' But maybe there is a chance of gradually improving the surface and atmosphere of Mars so it may be inhabitable by humans . '
 "" I'm skeptical . Mars is made of rocks containing silicon , iron , and various minerals . It also has an atmosphere of carbon dioxide . It is so different from what we have on earth , you know . ""
 "" I'd still like to hope that some day we could set up a human colony there . ""
 ' But there are still other big problems we need to solve such as prolonged weightlessness , food storage , and a series of physiological effects . ']",[1 2 1 2 1 1 1 2 1 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0],1708
